text,type,duration,quiz,id,createdAt,updatedAt
What is threading?,multipleChoice,23,1,1,2016-02-26 15:18:08,2016-02-26 15:18:08
How do you thread?,freeResponse,29,1,2,2016-02-26 15:18:08,2016-02-26 15:18:08
What do you like threading?,multipleChoice,23,1,3,2016-02-26 15:18:08,2016-02-26 15:18:08
What is racing?,freeResponse,12,1,4,2016-02-26 15:18:08,2016-02-26 15:18:08
What is Jframe?,multipleChoice,38,2,5,2016-02-26 15:18:08,2016-02-26 15:18:08
What is catalyst?,freeResponse,34,2,6,2016-02-26 15:18:08,2016-02-26 15:18:08
How to install?,multipleChoice,53,3,7,2016-02-26 15:18:08,2016-02-26 15:18:08
Where to go from here?,freeResponse,45,3,8,2016-02-26 15:18:08,2016-02-26 15:18:08
Do you like Java?,multipleChoice,34,3,9,2016-02-26 15:18:08,2016-02-26 15:18:08
What are objects?,freeResponse,53,4,10,2016-02-26 15:18:08,2016-02-26 15:18:08
What is boolean?,multipleChoice,38,4,11,2016-02-26 15:18:08,2016-02-26 15:18:08
Boolean vs. bool?,freeResponse,26,5,12,2016-02-26 15:18:08,2016-02-26 15:18:08
Do you like C++?,multipleChoice,26,6,13,2016-02-26 15:18:08,2016-02-26 15:18:08
What is BST?,freeResponse,56,6,14,2016-02-26 15:18:08,2016-02-26 15:18:08
What is Skip List?,multipleChoice,53,6,15,2016-02-26 15:18:08,2016-02-26 15:18:08
Do you like C?,freeResponse,62,6,16,2016-02-26 15:18:08,2016-02-26 15:18:08
What is n^2?,multipleChoice,42,7,17,2016-02-26 15:18:08,2016-02-26 15:18:08
What is 2n?,freeResponse,23,7,18,2016-02-26 15:18:08,2016-02-26 15:18:08
Do you like C#?,multipleChoice,29,8,19,2016-02-26 15:18:08,2016-02-26 15:18:08
Int vs. Integer?,freeResponse,23,8,20,2016-02-26 15:18:08,2016-02-26 15:18:08
True or False: C++ is a language,multipleChoice,12,8,21,2016-02-26 15:18:08,2016-02-26 15:18:08
log a metric!,freeResponse,38,9,22,2016-02-26 15:18:08,2016-02-26 15:18:08
Do you like Ada?,multipleChoice,34,9,23,2016-02-26 15:18:08,2016-02-26 15:18:08
Object vs. struct?,freeResponse,53,9,24,2016-02-26 15:18:08,2016-02-26 15:18:08
What is an object?,multipleChoice,45,9,25,2016-02-26 15:18:08,2016-02-26 15:18:08
Write a function?,freeResponse,34,9,26,2016-02-26 15:18:08,2016-02-26 15:18:08
Will this class help?,multipleChoice,53,10,27,2016-02-26 15:18:08,2016-02-26 15:18:08
Do you like me?,freeResponse,38,10,28,2016-02-26 15:18:08,2016-02-26 15:18:08
Do you like Prolog?,multipleChoice,26,10,29,2016-02-26 15:18:08,2016-02-26 15:18:08
What is one thing you learned?,freeResponse,26,11,30,2016-02-26 15:18:08,2016-02-26 15:18:08
How do we know?,multipleChoice,56,11,31,2016-02-26 15:18:08,2016-02-26 15:18:08
What do you like?,freeResponse,53,12,32,2016-02-26 15:18:08,2016-02-26 15:18:08
Are you on time?,multipleChoice,62,12,33,2016-02-26 15:18:08,2016-02-26 15:18:08
Will this class help?,freeResponse,42,12,34,2016-02-26 15:18:08,2016-02-26 15:18:08
Select one that is true,multipleChoice,23,12,35,2016-02-26 15:18:08,2016-02-26 15:18:08
Do you like D#?,freeResponse,29,12,36,2016-02-26 15:18:08,2016-02-26 15:18:08
Car project,multipleChoice,23,13,37,2016-02-26 15:18:08,2016-02-26 15:18:08
Nice project,freeResponse,12,13,38,2016-02-26 15:18:08,2016-02-26 15:18:08
Clicker project,multipleChoice,38,13,39,2016-02-26 15:18:08,2016-02-26 15:18:08
Will this class help?,freeResponse,34,13,40,2016-02-26 15:18:08,2016-02-26 15:18:08
Do you like MySQL?,multipleChoice,53,13,41,2016-02-26 15:18:08,2016-02-26 15:18:08
Do you care?,freeResponse,45,13,42,2016-02-26 15:18:08,2016-02-26 15:18:08
Networking,multipleChoice,34,14,43,2016-02-26 15:18:08,2016-02-26 15:18:08
Services,freeResponse,53,14,44,2016-02-26 15:18:08,2016-02-26 15:18:08
IT,multipleChoice,38,15,45,2016-02-26 15:18:08,2016-02-26 15:18:08
Will this class help?,freeResponse,26,16,46,2016-02-26 15:18:08,2016-02-26 15:18:08
Software engineering?,multipleChoice,26,16,47,2016-02-26 15:18:08,2016-02-26 15:18:08
More stuff here,freeResponse,56,17,48,2016-02-26 15:18:08,2016-02-26 15:18:08
Where to go from here?,multipleChoice,53,18,49,2016-02-26 15:18:08,2016-02-26 15:18:08
Do you like coding?,freeResponse,62,18,50,2016-02-26 15:18:08,2016-02-26 15:18:08
How to send info?,multipleChoice,42,18,51,2016-02-26 15:18:08,2016-02-26 15:18:08
Will this class help?,freeResponse,38,19,52,2016-02-26 15:18:08,2016-02-26 15:18:08
Does it need security?,multipleChoice,26,19,53,2016-02-26 15:18:08,2016-02-26 15:18:08
Do you like Javascript?,freeResponse,26,19,54,2016-02-26 15:18:08,2016-02-26 15:18:08
How to ensure password is good,multipleChoice,56,19,55,2016-02-26 15:18:08,2016-02-26 15:18:08
Will this class help?,freeResponse,53,20,56,2016-02-26 15:18:08,2016-02-26 15:18:08
What is a Lock?,multipleChoice,62,20,57,2016-02-26 15:18:08,2016-02-26 15:18:08
Do you like ReactJS?,freeResponse,42,21,58,2016-02-26 15:18:08,2016-02-26 15:18:08
What is a CV?,multipleChoice,62,21,59,2016-02-26 15:18:08,2016-02-26 15:18:08
How to mutex?,freeResponse,23,21,60,2016-02-26 15:18:08,2016-02-26 15:18:08
Where is the clock?,multipleChoice,34,21,61,2016-02-26 15:18:08,2016-02-26 15:18:08